AF3,F7,F3,FC5,T7,P7,O1,2,P8,T8,FC6,F4,F8,AF4,label
4408.21,4104.1,4380.0,4232.31,4449.74,4750.26,4169.23,4731.28,4311.28,4352.31,4319.49,4388.21,4715.9,4464.1,0
4347.18,3975.38,4266.67,4102.56,4333.33,4617.95,4097.44,4612.82,4210.77,4240.51,4248.21,4313.33,4664.1,4411.79,1
4317.44,3981.03,4283.59,4121.03,4351.28,4635.38,4091.28,4633.85,4210.77,4257.44,4234.87,4295.9,4658.97,4407.18,1
4381.54,4069.74,4294.87,4168.21,4348.21,4614.87,4054.87,4592.82,4179.49,4208.72,4202.05,4292.82,4617.95,4415.38,0
4390.26,4054.87,4349.23,4194.87,4420.51,4692.82,4154.36,4687.69,4272.82,4314.36,4300.0,4355.9,4703.59,4463.59,1
4382.05,4063.08,4329.23,4188.21,4412.82,4688.72,4153.33,4682.56,4270.26,4298.46,4267.69,4342.56,4687.69,4437.44,1
4330.26,4009.74,4304.1,4142.56,4371.79,4656.41,4113.33,4649.23,4226.67,4246.67,4193.85,4305.64,4610.77,4377.95,1
4328.21,4059.49,4290.26,4162.05,4373.85,4649.74,4102.05,4646.67,4217.44,4227.18,4213.33,4298.46,4605.13,4372.82,0
4362.56,3983.08,4273.33,4115.38,4336.41,4624.62,4104.62,4627.18,4212.82,4233.85,4245.13,4324.62,4663.08,4421.03,1
4320.0,4031.28,4277.95,4143.08,4377.95,4648.21,4102.56,4644.62,4228.21,4255.9,4229.23,4297.95,4643.08,4394.36,1
4400.0,4049.74,4278.46,4134.87,4330.77,4609.23,4058.46,4613.33,4196.92,4242.56,4237.95,4304.62,4669.23,4468.21,0
4312.31,3973.33,4262.56,4092.31,4331.28,4598.97,4090.26,4620.0,4211.28,4250.26,4244.1,4305.64,4671.79,4418.97,1
4429.23,4065.13,4296.92,4154.36,4365.13,4628.21,4083.59,4617.44,4225.64,4285.64,4256.41,4326.15,4696.41,4481.03,0
4370.77,4058.46,4279.49,4153.33,4334.87,4614.87,4067.18,4607.69,4201.54,4226.67,4220.0,4291.28,4623.59,4404.62,0
4406.67,4076.41,4295.9,4150.26,4320.51,4598.97,4058.46,4615.9,4196.41,4227.18,4212.82,4313.85,4637.44,4457.44,0
4317.44,4021.54,4281.54,4140.51,4347.69,4606.67,4095.38,4625.13,4206.67,4252.82,4222.56,4294.36,4640.0,4381.03,0
4406.67,4128.21,4296.92,4162.56,4348.72,4607.69,4062.56,4601.03,4192.82,4211.28,4202.05,4296.41,4617.95,4427.69,1
4454.36,4060.0,4311.28,4149.74,4321.54,4588.72,4071.28,4611.79,4213.33,4248.21,4277.44,4340.0,4746.67,4538.97,0
4313.33,4022.05,4270.26,4130.26,4380.0,4648.72,4093.85,4654.87,4242.56,4256.41,4222.05,4288.21,4642.05,4388.72,1
4322.05,4038.97,4276.41,4126.15,4354.36,4623.08,4113.33,4621.03,4221.03,4238.46,4229.74,4305.13,4631.79,4382.05,1
4356.41,3983.59,4280.51,4115.38,4333.85,4616.92,4096.92,4622.56,4217.44,4236.41,4243.59,4314.36,4665.64,4422.05,1
4395.38,4074.36,4332.31,4197.95,4404.1,4671.79,4133.85,4676.41,4258.97,4282.56,4224.62,4327.69,4634.36,4424.62,1
4425.13,4069.74,4291.79,4138.97,4348.21,4621.03,4068.21,4599.49,4185.64,4247.69,4240.0,4315.9,4708.72,4498.46,0
4415.38,4048.21,4281.54,4158.46,4347.69,4600.0,4069.23,4585.13,4185.13,4252.82,4240.0,4306.15,4671.28,4472.31,1
4306.15,4024.1,4288.21,4138.97,4369.74,4654.87,4109.23,4670.77,4253.33,4269.74,4225.64,4302.05,4648.21,4376.41,1
4444.62,4091.28,4301.03,4152.82,4354.87,4635.38,4078.46,4612.82,4203.08,4266.67,4246.15,4316.92,4679.49,4475.9,0
4321.03,4010.77,4289.23,4153.85,4359.49,4631.28,4063.59,4625.13,4215.38,4257.44,4226.15,4300.0,4627.69,4376.92,0
4333.33,4032.82,4302.05,4136.92,4361.03,4648.21,4088.21,4637.44,4208.72,4255.38,4236.41,4296.41,4632.31,4388.72,0
4371.79,3993.33,4263.08,4117.44,4347.69,4599.49,4071.79,4589.23,4191.79,4237.44,4215.38,4293.33,4631.79,4426.67,1
4370.77,4057.44,4285.64,4154.36,4329.23,4610.26,4070.77,4606.67,4197.44,4225.64,4210.26,4294.36,4610.77,4409.23,0
4416.92,4106.67,4261.03,4153.33,4334.87,4589.23,4062.56,4604.62,4180.0,4207.18,4219.49,4292.82,4643.08,4442.05,0
4382.05,4033.33,4278.46,4131.79,4327.69,4613.85,4055.38,4615.38,4207.69,4244.62,4243.08,4309.23,4664.1,4450.77,1
4384.62,3994.36,4295.9,4132.31,4344.62,4621.54,4082.56,4607.69,4199.49,4258.97,4230.26,4314.87,4662.56,4449.74,1
4322.05,4025.13,4281.03,4139.49,4342.05,4626.67,4061.03,4631.28,4230.77,4258.97,4235.38,4297.95,4640.0,4388.72,1
4497.44,4145.64,4337.44,4193.85,4357.95,4616.92,4077.95,4618.46,4200.51,4235.38,4254.87,4333.85,4696.41,4534.36,0
4453.33,4114.36,4318.97,4171.79,4348.72,4614.36,4066.15,4608.72,4182.05,4213.85,4222.05,4309.74,4656.92,4489.23,0
4387.18,4071.79,4342.05,4187.18,4426.15,4703.08,4146.67,4674.87,4261.54,4304.62,4299.49,4350.26,4707.18,4464.1,1
4324.62,4044.1,4280.51,4125.64,4354.87,4629.23,4112.82,4628.21,4230.77,4252.31,4229.23,4298.97,4629.23,4376.92,1
4321.54,3984.1,4280.51,4119.49,4357.95,4640.0,4094.87,4654.36,4227.18,4264.1,4237.44,4302.56,4670.26,4423.08,1
4364.62,4038.97,4295.9,4154.36,4358.97,4626.67,4070.26,4619.49,4224.1,4247.18,4224.1,4303.08,4649.23,4408.21,1
4435.9,4111.79,4312.31,4169.23,4348.21,4608.72,4053.85,4585.13,4186.15,4219.49,4236.41,4304.1,4672.82,4471.79,1
4371.28,4045.64,4296.41,4138.46,4335.9,4614.87,4073.85,4624.62,4203.59,4233.33,4222.56,4308.21,4611.28,4424.62,0
4357.44,4063.59,4277.95,4140.0,4329.23,4585.13,4074.36,4601.03,4184.62,4214.87,4197.44,4288.72,4612.31,4404.62,0
4416.41,4084.1,4296.92,4164.1,4321.03,4600.51,4061.03,4612.82,4188.21,4215.9,4216.92,4313.33,4638.97,4468.72,0
4332.82,4028.72,4283.08,4135.9,4350.77,4630.26,4083.59,4632.82,4226.15,4248.21,4212.82,4292.82,4623.08,4392.31,1
4384.62,4074.87,4281.54,4142.05,4336.92,4615.9,4059.49,4621.03,4206.67,4240.51,4227.18,4296.92,4620.51,4422.56,0
4391.28,4080.0,4358.97,4198.46,4421.54,4725.13,4169.74,4706.67,4280.51,4329.23,4308.72,4383.08,4704.1,4455.9,0
4394.36,4021.54,4296.92,4124.62,4341.03,4601.03,4055.9,4600.0,4205.64,4236.41,4249.74,4316.41,4688.21,4457.95,0
4443.59,4098.97,4310.77,4163.08,4356.92,4615.38,4071.79,4631.79,4218.46,4257.95,4245.13,4322.56,4708.72,4503.08,0
4329.74,4018.46,4291.79,4159.49,4358.46,4631.28,4069.74,4631.79,4215.9,4263.08,4238.97,4308.21,4633.85,4387.18,0
4389.23,4006.67,4262.56,4123.08,4353.33,4609.74,4082.56,4591.28,4187.18,4235.9,4225.13,4297.95,4651.28,4456.41,1
4430.77,4067.69,4291.79,4171.79,4344.1,4609.23,4070.26,4586.67,4181.03,4249.74,4241.03,4314.87,4670.77,4480.51,0
4342.56,4041.54,4301.03,4143.59,4364.1,4651.79,4093.33,4643.59,4221.54,4264.1,4243.08,4308.72,4638.97,4400.0,0
4324.62,4044.1,4278.97,4121.03,4339.49,4620.51,4108.21,4614.36,4207.18,4222.05,4222.56,4303.08,4624.62,4387.18,1
4335.9,4032.31,4294.36,4135.9,4360.0,4638.97,4087.18,4637.95,4211.79,4258.46,4241.03,4306.67,4638.97,4400.51,0
4405.64,4104.1,4371.79,4230.26,4452.82,4747.69,4166.67,4717.95,4301.03,4345.13,4321.54,4383.59,4711.79,4458.46,0
4385.13,4089.23,4279.49,4155.9,4334.36,4607.18,4056.92,4614.36,4186.67,4221.03,4193.85,4288.72,4627.18,4422.05,0
4336.41,4012.82,4297.95,4148.21,4378.97,4657.95,4104.62,4646.15,4225.64,4248.21,4194.36,4304.1,4610.26,4378.97,1
4360.0,4059.49,4356.41,4158.97,4378.46,4669.23,4112.31,4660.51,4245.13,4282.05,4264.1,4330.26,4660.0,4409.74,0
4384.1,4082.05,4347.69,4196.92,4421.54,4714.87,4143.59,4689.23,4270.77,4318.46,4293.85,4363.08,4696.92,4441.54,0
4324.1,4025.64,4295.38,4158.97,4383.59,4660.0,4108.72,4654.87,4236.41,4255.9,4208.21,4301.03,4629.23,4382.56,1
4410.26,4012.31,4278.46,4133.33,4356.92,4601.54,4075.9,4600.0,4201.54,4257.44,4253.85,4315.9,4687.69,4481.03,1
4372.31,4099.49,4265.64,4166.67,4360.51,4626.67,4073.85,4620.51,4201.54,4230.77,4220.51,4286.67,4618.97,4410.77,0
4420.51,4075.9,4295.38,4157.44,4333.85,4603.59,4047.69,4592.31,4189.23,4230.26,4234.36,4313.33,4675.9,4488.72,0
4361.03,4049.23,4352.31,4154.87,4371.28,4667.18,4106.67,4655.38,4228.21,4271.79,4252.31,4315.9,4660.0,4415.9,0
4328.72,4019.49,4297.44,4153.33,4340.51,4610.26,4072.82,4623.08,4216.41,4247.18,4214.87,4306.67,4625.64,4390.77,1
4314.87,3971.79,4261.54,4091.28,4334.87,4603.08,4094.36,4624.62,4215.9,4251.79,4244.62,4294.36,4671.28,4420.0,1
4330.77,4053.33,4265.64,4118.97,4358.46,4641.03,4115.9,4628.72,4217.95,4242.56,4236.41,4300.51,4639.49,4390.26,1
4377.95,4052.31,4281.03,4142.05,4334.36,4615.9,4054.87,4597.95,4188.72,4225.13,4222.05,4294.36,4631.79,4423.59,0
4386.67,4031.79,4290.26,4125.64,4328.72,4605.64,4055.38,4614.36,4208.21,4253.85,4239.49,4314.87,4665.64,4456.92,1
4415.9,4053.33,4278.46,4161.54,4345.64,4601.54,4059.49,4587.69,4198.97,4255.9,4241.54,4302.56,4671.28,4477.44,1
4400.0,4022.05,4313.85,4139.49,4356.92,4630.26,4085.64,4637.44,4228.21,4287.18,4286.15,4341.54,4753.33,4506.67,1
4389.74,4054.36,4359.49,4188.72,4419.49,4702.56,4166.67,4694.87,4276.41,4311.28,4306.67,4364.1,4705.13,4465.64,1
4334.87,4036.92,4310.26,4150.26,4363.59,4651.28,4098.46,4634.87,4210.77,4250.77,4231.79,4299.49,4628.21,4385.13,0
4320.0,3967.69,4257.95,4095.38,4331.28,4602.56,4099.49,4620.0,4206.15,4240.51,4245.64,4295.9,4675.9,4428.72,1
4350.77,4050.26,4342.05,4153.33,4364.62,4653.85,4103.59,4640.0,4220.51,4263.59,4247.18,4312.82,4649.74,4413.85,0
4446.15,4099.49,4303.08,4186.15,4341.54,4604.1,4067.69,4593.33,4180.51,4257.95,4244.1,4325.13,4673.33,4489.74,0
4368.72,4065.64,4364.1,4166.15,4381.03,4676.92,4112.82,4661.54,4244.1,4285.13,4263.08,4332.31,4667.18,4412.82,0
4354.87,3980.0,4266.67,4096.41,4329.23,4595.9,4083.08,4614.36,4212.82,4248.21,4255.38,4304.62,4698.46,4446.15,1
4390.26,4035.9,4285.64,4139.49,4330.77,4610.26,4061.03,4620.0,4224.62,4251.79,4247.69,4313.33,4667.18,4459.49,1
4327.69,4055.9,4283.59,4153.33,4353.85,4631.28,4080.0,4615.38,4213.85,4255.38,4208.21,4285.64,4613.33,4384.62,1
4344.1,3966.67,4262.56,4113.85,4321.03,4615.9,4084.1,4624.1,4211.79,4258.46,4206.67,4304.62,4701.54,4438.97,1
4333.33,4014.87,4282.05,4137.95,4366.67,4647.18,4081.54,4636.92,4221.03,4260.51,4246.67,4314.36,4640.0,4397.95,0
4348.72,3989.74,4273.33,4106.15,4332.31,4605.64,4058.46,4594.36,4197.44,4229.23,4230.26,4290.77,4669.74,4425.13,0
4365.64,3989.74,4295.9,4137.44,4350.26,4621.54,4087.18,4620.51,4213.33,4272.31,4237.95,4309.74,4664.1,4432.31,1
4360.51,4043.08,4324.1,4182.56,4407.69,4684.62,4150.77,4676.92,4263.59,4289.74,4283.08,4330.77,4674.36,4420.51,1
4346.67,3995.38,4277.95,4112.31,4333.33,4627.69,4103.08,4628.72,4206.67,4218.46,4208.21,4306.15,4629.23,4399.49,1
4403.08,4076.92,4342.56,4200.0,4397.44,4665.13,4132.31,4669.74,4254.36,4274.87,4227.18,4333.33,4647.69,4431.79,1
4330.26,4025.13,4265.13,4140.0,4318.46,4623.08,4057.95,4612.82,4207.69,4241.03,4228.72,4294.87,4653.85,4386.15,0
4346.67,4045.64,4345.13,4153.33,4369.74,4664.1,4107.18,4654.36,4228.72,4271.28,4252.31,4315.38,4654.36,4405.13,0
4423.08,4128.21,4296.41,4165.13,4350.26,4610.26,4052.82,4571.28,4177.44,4213.85,4215.38,4296.92,4648.21,4453.85,1
4331.28,4051.28,4269.23,4114.36,4352.31,4630.77,4105.13,4627.69,4213.33,4226.67,4222.05,4295.38,4622.56,4384.62,1
4367.69,4031.28,4318.97,4168.21,4397.95,4666.15,4123.59,4663.08,4245.64,4274.87,4219.49,4322.05,4631.28,4402.56,1
4321.54,4025.13,4284.1,4142.05,4365.13,4629.23,4105.13,4628.21,4211.28,4247.69,4231.79,4295.9,4631.79,4395.38,1
4365.13,4061.54,4361.03,4159.49,4377.95,4669.23,4110.26,4644.62,4232.31,4273.33,4255.9,4326.15,4657.95,4415.9,0
4390.26,4069.23,4294.36,4151.79,4343.08,4608.21,4049.74,4578.97,4175.9,4212.31,4198.97,4296.41,4632.31,4427.18,0
4405.13,4038.46,4276.92,4119.49,4321.54,4606.15,4057.95,4615.38,4200.51,4244.62,4247.18,4308.21,4680.0,4482.05,1
4356.41,4011.28,4300.0,4151.79,4389.74,4666.67,4120.51,4662.56,4241.54,4264.62,4204.62,4314.36,4610.77,4390.77,1
4366.15,3940.51,4251.79,4086.67,4311.28,4587.69,4075.9,4625.13,4228.21,4262.05,4293.85,4326.67,4774.36,4477.44,1
4333.33,4069.74,4301.03,4168.72,4376.41,4648.21,4090.26,4631.28,4198.97,4219.49,4210.26,4301.54,4607.18,4381.03,0
4362.56,3988.72,4263.59,4127.18,4347.18,4603.08,4069.74,4596.41,4195.38,4236.92,4211.79,4292.31,4620.0,4416.92,1
4380.51,4004.1,4264.62,4124.62,4358.97,4615.38,4078.46,4592.82,4190.77,4244.62,4225.64,4297.44,4645.13,4435.9,1
4372.31,4051.28,4337.44,4189.23,4416.41,4690.77,4150.77,4674.36,4261.03,4301.54,4288.72,4346.15,4691.79,4447.69,1
4390.26,4085.13,4350.26,4200.0,4423.08,4717.44,4144.1,4695.38,4271.79,4316.41,4298.97,4365.64,4696.41,4447.69,0
4474.87,4152.82,4291.79,4185.64,4340.0,4587.18,4068.72,4618.97,4204.1,4235.9,4259.49,4330.26,4700.51,4501.03,0
4335.38,4024.1,4294.87,4150.77,4356.41,4628.21,4098.46,4632.82,4215.38,4245.64,4228.72,4301.03,4630.77,4405.13,1
4450.26,4104.1,4313.33,4169.74,4348.21,4629.74,4074.87,4610.26,4210.26,4251.79,4224.1,4315.9,4647.69,4473.85,0
4321.03,3968.72,4252.31,4114.36,4327.18,4602.56,4069.23,4616.92,4209.23,4262.05,4212.82,4297.95,4702.05,4417.44,1
4324.1,4022.05,4287.18,4135.9,4367.69,4652.31,4081.54,4640.51,4232.31,4268.21,4244.62,4307.69,4636.41,4390.77,0
4332.31,4013.85,4305.64,4147.69,4374.36,4651.79,4109.74,4652.31,4238.97,4247.18,4200.51,4305.64,4619.49,4379.49,1
4318.46,3917.95,4250.26,4065.64,4323.08,4604.62,4098.46,4650.26,4240.51,4270.77,4280.0,4313.85,4730.26,4432.82,1
4328.72,4021.54,4289.23,4138.46,4367.69,4649.74,4083.59,4643.08,4225.13,4265.13,4240.51,4309.74,4636.41,4391.79,0
4359.49,4047.18,4274.87,4141.03,4340.0,4610.77,4074.87,4591.28,4174.87,4211.28,4218.97,4294.36,4621.03,4397.44,0
4404.62,4041.54,4290.77,4132.31,4320.51,4602.56,4060.0,4613.33,4200.51,4241.54,4242.56,4316.41,4674.87,4470.26,1
4420.0,4108.72,4297.44,4170.26,4326.67,4604.1,4058.46,4591.79,4182.56,4204.62,4203.08,4294.36,4606.67,4451.28,0
4390.77,4114.36,4306.15,4169.23,4338.97,4612.82,4075.9,4592.31,4175.38,4192.82,4196.92,4297.44,4579.49,4430.26,1
4344.62,4023.59,4302.56,4153.33,4383.08,4658.97,4112.82,4661.03,4241.54,4261.03,4205.13,4305.64,4618.97,4389.74,1
4423.59,4070.26,4293.85,4138.97,4355.38,4615.9,4071.28,4611.79,4201.54,4245.64,4242.05,4306.15,4713.85,4494.36,0
4408.21,4038.46,4289.23,4135.38,4338.46,4606.67,4058.97,4604.62,4201.54,4239.49,4247.69,4307.18,4692.31,4467.69,0
4445.13,4140.51,4307.18,4178.97,4332.82,4590.77,4068.72,4605.64,4191.28,4212.31,4210.26,4309.23,4632.82,4466.15,0
4311.79,4050.77,4293.85,4160.51,4374.87,4648.21,4100.51,4644.1,4211.28,4232.82,4219.49,4301.03,4612.82,4365.64,0
4363.59,3996.92,4285.13,4138.97,4363.08,4640.51,4085.13,4616.41,4200.51,4266.15,4226.15,4302.56,4640.0,4413.85,1
4417.95,4091.28,4282.05,4158.97,4341.03,4615.9,4060.51,4582.05,4162.05,4221.03,4199.49,4292.82,4613.85,4445.64,0
4410.77,4045.64,4292.82,4137.44,4351.28,4623.59,4085.64,4599.49,4187.18,4248.72,4227.18,4307.18,4672.82,4456.92,0
4356.41,4046.15,4347.69,4152.82,4370.26,4668.72,4110.26,4650.26,4228.21,4272.31,4251.79,4315.9,4657.95,4412.31,0
4320.51,4045.13,4264.1,4125.13,4363.59,4628.21,4116.41,4628.21,4228.21,4248.21,4233.85,4295.9,4633.33,4374.36,1
4412.82,3982.05,4278.97,4108.21,4314.87,4578.97,4073.33,4617.95,4228.72,4263.59,4312.31,4346.15,4796.92,4526.15,1
4412.82,4112.82,4385.64,4232.31,4452.31,4754.87,4173.33,4727.69,4315.38,4348.72,4316.41,4393.85,4710.77,4464.62,0
4389.23,4092.82,4295.9,4156.41,4334.87,4598.97,4050.26,4603.59,4188.21,4196.92,4174.36,4290.26,4570.26,4407.18,1
4354.36,4017.95,4281.54,4134.36,4317.95,4599.49,4061.54,4620.0,4195.38,4234.87,4224.1,4292.82,4637.95,4420.51,1
4339.49,4011.28,4294.87,4138.97,4355.38,4633.85,4088.21,4613.85,4204.1,4248.21,4220.51,4301.54,4634.36,4390.26,1
